h3,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
891e064d88bffff,0,0,0,0,0,0,0,0,0,0
891e064d88fffff,0,0,0,0,0,0,0,0,0,0
891e064d8a3ffff,0,0,0,0,0,0,0,0,0,0
891e064d8a7ffff,0,0,0,0,0,0,0,0,0,0
891e064d8abffff,0,0,0,0,0,0,0,0,0,0
891e064d8afffff,0,0,0,0,0,0,0,0,0,0
891e064d8b3ffff,0,0,0,0,0,0,0,0,0,0
891e064d8b7ffff,0,0,0,0,0,0,0,0,0,0
891e064d8bbffff,0,0,0,0,0,0,0,0,0,0
891e064d8c3ffff,0,0,0,0,0,0,0,0,0,0
891e064d8c7ffff,0,0,0,0,0,0,0,0,0,0
891e064d8cbffff,0,0,0,0,0,0,0,0,0,0
891e064d8cfffff,0,0,0,0,0,0,0,0,0,0
891e064d8d3ffff,0,0,0,0,0,0,0,0,0,0
891e064d8d7ffff,0,0,0,0,0,0,0,0,0,0
891e064d8dbffff,0,0,0,0,0,0,0,0,0,0
891e064d903ffff,0,0,0,0,0,0,0,0,0,0
891e064d907ffff,0,0,0,0,0,0,0,0,0,0
891e064d90bffff,0,0,1,2,1,0,0,1,0,0
891e064d90fffff,0,0,0,0,0,0,0,0,0,0
891e064d913ffff,0,0,0,0,0,0,0,0,0,0
891e064d917ffff,0,0,0,0,0,0,0,0,0,0
891e064d91bffff,0,0,0,0,0,1,1,0,0,0
891e064d923ffff,0,0,0,0,0,0,0,0,0,0
891e064d927ffff,0,0,0,0,0,0,0,0,0,0
891e064d92bffff,0,0,1,1,1,1,0,0,0,0
891e064d92fffff,0,0,0,0,0,0,0,0,0,0
891e064d933ffff,0,0,0,0,0,0,0,0,0,0
891e064d937ffff,0,0,0,0,0,0,0,0,0,0
891e064d93bffff,0,0,0,0,0,0,0,0,0,0
891e064d943ffff,0,2,4,4,2,1,1,1,1,1
891e064d947ffff,0,0,0,0,1,1,0,0,0,0
891e064d94bffff,0,1,1,1,0,0,0,0,0,1
891e064d94fffff,0,0,2,1,0,0,1,2,0,2
891e064d953ffff,0,0,0,0,0,0,0,0,0,1
891e064d957ffff,0,0,0,0,0,0,0,0,0,0
891e064d95bffff,0,0,0,0,0,0,0,0,0,2
891e064d963ffff,1,1,2,1,1,1,1,1,1,3
891e064d967ffff,1,0,0,0,0,0,0,0,0,0
891e064d96bffff,0,0,0,0,1,1,1,4,2,2
891e064d96fffff,1,0,0,0,1,1,1,1,1,1
891e064d973ffff,0,0,0,0,0,0,0,0,0,0
891e064d977ffff,0,0,0,0,0,0,1,1,0,1
891e064d97bffff,0,0,0,0,0,0,0,1,1,1
891e064d983ffff,0,0,0,0,0,0,0,0,0,0
891e064d987ffff,0,0,0,0,0,0,0,0,0,0
891e064d98bffff,0,0,0,0,0,0,0,0,0,0
891e064d98fffff,0,0,0,0,0,0,0,0,0,0
891e064d993ffff,0,0,0,0,0,0,0,0,0,0
891e064d997ffff,0,0,0,0,0,0,0,0,0,0
891e064d99bffff,1,1,1,1,1,0,0,0,0,0
891e064d9a3ffff,0,0,0,0,0,0,0,0,0,0
891e064d9a7ffff,0,0,0,0,0,0,0,0,0,0
891e064d9abffff,0,0,0,0,0,0,0,0,0,0
891e064d9afffff,0,1,0,0,0,0,0,0,0,0
891e064d9b3ffff,0,0,0,0,0,0,0,0,0,0
891e064d9b7ffff,1,1,2,2,2,2,2,2,2,2
891e064d9bbffff,0,0,0,0,0,0,0,0,0,0
891e064d9c3ffff,0,0,0,0,0,0,0,0,0,0
891e064d9c7ffff,0,0,0,0,0,0,0,0,0,0
891e064d9cbffff,0,0,0,0,0,0,0,0,0,0
891e064d9cfffff,0,0,0,0,0,0,0,0,0,0
891e064d9d3ffff,0,0,0,0,0,0,0,0,0,0
891e064d9d7ffff,0,0,0,0,0,0,0,0,0,0
891e064d9dbffff,0,0,0,0,0,0,0,0,0,0
891e064da03ffff,0,0,0,0,1,1,1,1,1,1
891e064da07ffff,0,0,0,0,0,0,0,0,0,0
891e064da0bffff,0,0,0,0,0,0,0,0,0,0
891e064da0fffff,0,1,0,0,0,0,0,0,0,1
891e064da13ffff,0,0,0,0,0,0,0,0,0,0
891e064da17ffff,1,1,1,1,1,1,1,3,3,1
891e064da1bffff,0,0,0,0,0,0,0,0,0,0
891e064da23ffff,0,0,0,0,0,0,0,1,0,1
891e064da27ffff,0,0,0,2,2,1,2,1,2,1
891e064da2bffff,0,0,0,0,0,0,0,0,0,0
891e064da2fffff,1,1,1,0,0,0,0,0,0,5
891e064da33ffff,0,0,0,0,0,0,0,1,0,0
891e064da37ffff,1,1,1,1,0,0,0,0,0,0
891e064da3bffff,0,0,0,0,0,0,0,0,0,0
891e064da43ffff,0,0,1,1,1,1,1,0,0,0
891e064da47ffff,0,0,0,0,0,0,0,0,0,0
